n_step,reward,epsilon
12496,-411.98717645793624,1.0
18506,-621.2358877305951,1.0
5973,-198.90224553279646,1.0
31320,-1042.8756045241207,1.0
84228,-2821.3165538152803,1.0
11920,-398.46166421470264,1.0
35362,-1179.310466669896,1.0
15419,-516.523229019994,1.0
47033,-1558.3250342434114,1.0
20196,-673.01857240238,1.0
16642,-549.8040196360269,1.0
21443,-711.8144533076218,1.0
3973,-132.8826792494031,1.0
6287,-210.3631966499159,1.0
6149,-204.77054246045748,1.0
9060,-305.5921370742531,1.0
13128,-436.16403964673856,1.0
1597,-53.945621285822895,1.0
33071,-1105.516384471171,1.0
2236,-75.62684583728714,1.0
34453,-1152.7135013223372,1.0
54409,-1813.2664291207918,1.0
29366,-983.8370147927072,1.0
4397,-145.0885171037648,1.0
34869,-1156.0559217856392,1.0
46156,-1537.9570170065854,1.0
5527,-183.5285755673836,1.0
36859,-1230.7999694347557,1.0
13878,-465.32923764675127,1.0
8912,-298.10277283238895,1.0
6246,-209.41938409600093,1.0
21240,-708.1498242429984,1.0
8069,-271.6672934611212,1.0
50753,-1686.4281822241348,1.0
11267,-372.9311993241532,1.0
9891,-325.55539030604956,1.0
31702,-1055.4049304654377,1.0
20280,-680.1161881350924,1.0
19022,-625.9829320906472,1.0
11902,-394.13768391570926,1.0
37886,-1283.1197553614752,1.0
7197,-238.92638650091607,1.0
9048,-300.3588339403115,1.0
29212,-977.8232882424669,1.0
2623,-88.44206519964227,1.0
54718,-1821.2306601603395,1.0
7294,-244.83491533012207,1.0
16660,-552.5610923917793,1.0
10498,-341.9044100614724,1.0
9326,-311.4748637055003,1.0
33066,-1116.7118737992798,1.0
33957,-1129.8877626673536,1.0
98896,-3303.8102279554796,1.0
15562,-524.342156215139,1.0
13713,-458.0594897767808,1.0
58080,-1935.1392336829388,1.0
8997,-304.8499278068585,1.0
12568,-421.57098638932996,1.0
21364,-704.1422703051005,1.0
3890,-130.13772273149937,1.0
15249,-511.05576297494935,1.0
29465,-987.2562280819757,1.0
50409,-1673.0505182528286,1.0
6057,-208.43621271273645,1.0
2449,-83.51329486689043,1.0
41356,-1367.660263270549,1.0
42480,-1414.9671293785602,1.0
15113,-504.19700926318177,1.0
8001,-266.07217819314843,1.0
1837,-61.484809288799966,1.0
37732,-1269.3435862777753,1.0
17508,-585.8495827069892,1.0
18696,-624.281592226859,1.0
5860,-196.61335050983865,1.0
7270,-244.17826131573972,1.0
4286,-143.1109312507497,1.0
19733,-655.9372466944936,1.0
7052,-239.7988742620711,1.0
26963,-897.8201221334974,1.0
16537,-549.3424723353661,1.0
40649,-1350.969996249777,1.0
45478,-1523.4000825938406,1.0
45441,-1521.4716496094459,1.0
39833,-1328.8573699643925,1.0
26265,-875.9863366023344,1.0
32495,-1082.2330846309276,1.0
16162,-528.317552990112,1.0
43907,-1455.834968612018,1.0
25247,-840.6769216168811,1.0
17102,-570.4628765239256,1.0
3084,-101.01069301416877,1.0
25462,-855.1787189428323,1.0
29849,-984.5505906306975,1.0
10801,-357.82440587497825,1.0
37072,-1231.4930967344387,1.0
1420,-47.2420852751003,1.0
18726,-625.7363439586538,1.0
31410,-1051.7046271833515,1.0
25655,-867.9886653521517,1.0
19321,-646.9563895641286,1.0
5128,-173.071943701145,1.0
2856,-95.74119805054005,1.0
2118,-74.52151606042155,1.0
11546,-386.16784783062036,1.0
24440,-818.7035459684517,1.0
38296,-1279.1685643874525,1.0
17266,-579.2456571059942,1.0
14655,-487.1262912299202,1.0
8582,-281.5106837246242,1.0
35007,-1169.2193825668571,1.0
61344,-2034.5360290583646,1.0
12765,-429.8633674690271,1.0
31201,-1045.1031003193384,1.0
11804,-389.95943691212403,1.0
38250,-1274.3568375926816,1.0
8206,-271.7090870431707,1.0
18489,-614.4811049783114,1.0
3948,-131.00573235897323,1.0
3061,-105.9025448417796,1.0
24663,-829.2419860806017,1.0
7888,-264.96073958079774,1.0
78036,-2596.7871715210463,1.0
8092,-268.4193233321562,1.0
42859,-1424.8000194245642,1.0
23310,-777.9115915647632,1.0
45682,-1526.219474811713,1.0
21141,-712.8452769021903,1.0
10991,-361.70845690990586,1.0
47988,-1597.8266440771138,1.0
26254,-878.2420395045715,1.0
4360,-143.39663335570862,1.0
13264,-448.884183587802,1.0
3647,-117.80482047006795,1.0
28621,-960.5234589137619,1.0
66665,-2220.475171459801,1.0
15337,-506.94986276589265,1.0
111254,-3714.9550275551287,1.0
11670,-390.51932758517586,1.0
31627,-1040.6692196388042,1.0
20590,-694.0367860837043,1.0
71583,-2387.154136151607,1.0
15195,-504.7376473120844,1.0
5973,-196.00552735622506,1.0
29900,-992.5966824216462,1.0
5606,-187.933581046492,1.0
30297,-1014.4164622709519,1.0
30313,-1012.4457350320884,1.0
14595,-492.49054166092805,1.0
9569,-321.3591491370401,1.0
32226,-1076.7063239920185,1.0
10944,-364.2252233097714,1.0
30658,-1030.0546596021084,1.0
24422,-812.2013169873325,1.0
58451,-1945.9834893933462,1.0
15793,-521.690970408907,1.0
24552,-817.3929881817701,1.0
38197,-1273.4105162539752,1.0
51597,-1719.1787874622426,1.0
35405,-1176.4688511179252,1.0
21572,-723.106708292728,1.0
7546,-253.1023930247346,1.0
15054,-499.29902663162414,1.0
30464,-1012.3975044995109,1.0
32107,-1075.3893312854088,1.0
22810,-764.1474627550654,1.0
17840,-596.5837666525506,1.0
8213,-272.13191561033443,1.0
10407,-349.7611123920043,1.0
23478,-777.5215856169503,1.0
39152,-1316.8305902224852,1.0
24656,-831.7124423531176,1.0
3501,-117.93583807864846,1.0
4195,-140.2302252070623,1.0
96571,-3208.423986995007,1.0
29789,-997.9452914308779,1.0
19669,-672.3489025689221,1.0
54066,-1804.3364771038202,1.0
22629,-747.7140568737931,1.0
68801,-2306.091983338301,1.0
17781,-594.998784335278,1.0
