n_step,reward,epsilon
29264,-885.0159999998298,1.2
11391,-283.9410000000064,1.1964107676969093
9107,-208.385999999996,1.1928429423459244
3332,-14.216000000002879,1.1892963330029733
10380,-251.29600000000224,1.1857707509881423
2437,20.140999999999167,1.1822660098522169
4330,-46.16500000000171,1.1787819253438114
14061,-366.585000000013,1.1753183153770814
8984,-206.2349999999959,1.171875
9924,-235.4939999999982,1.168451801363194
4180,-42.40900000000272,1.1650485436893203
11611,-283.08100000000513,1.1616650532429817
9895,-235.10399999999936,1.1583011583011582
6595,-122.84799999999427,1.1549566891241578
6403,-114.62999999999451,1.1516314779270633
5469,-82.39299999999774,1.1483253588516746
8889,-196.3669999999945,1.1450381679389312
6433,-117.85899999999535,1.141769743101808
3289,-7.758000000002795,1.1385199240986716
7128,-140.41099999999278,1.1352885525070955
29446,-893.8349999998251,1.1320754716981132
8550,-186.12199999999342,1.1288805268109126
1361,53.32300000000003,1.125703564727955
2215,26.56499999999967,1.1225444340505144
2794,5.530999999998315,1.1194029850746268
2733,6.29999999999842,1.1162790697674418
11486,-290.4380000000069,1.1131725417439702
27950,-840.2259999998485,1.1100832562442182
5648,-90.82899999999691,1.107011070110701
26037,-771.7089999998759,1.1039558417663293
10403,-250.72000000000082,1.1009174311926604
17726,-497.706999999985,1.0978956999085088
11644,-294.92500000000666,1.0948905109489049
11329,-286.5590000000056,1.091901728844404
1943,34.448000000000235,1.0889292196007259
9274,-213.9719999999962,1.085972850678733
7018,-132.44499999999383,1.083032490974729
6028,-103.79199999999602,1.08010801080108
3597,-22.50100000000353,1.0771992818671452
5832,-96.18199999999624,1.0743061772605191
19859,-564.2239999999531,1.0714285714285714
14601,-393.1460000000141,1.068566340160285
2143,29.82299999999975,1.0657193605683837
19036,-547.9659999999628,1.0628875110717448
39413,-1225.1909999998575,1.0600706713780916
11627,-289.7960000000044,1.0572687224669604
13620,-359.4790000000128,1.0544815465729351
6339,-116.35699999999451,1.0517090271691498
3868,-30.005000000003477,1.0489510489510487
5053,-71.67299999999925,1.046207497820401
3316,-8.606000000002567,1.0434782608695652
14881,-396.3130000000167,1.0407632263660016
15617,-421.0390000000151,1.0380622837370244
2012,31.714,1.0353753235547885
5257,-77.047999999999,1.0327022375215147
1454,50.08300000000011,1.0300429184549356
4005,-31.302000000004085,1.0273972602739727
9207,-209.4739999999956,1.0247651579846284
17536,-487.87199999998745,1.022146507666099
4345,-47.68900000000154,1.0195412064570943
2197,26.9879999999998,1.0169491525423728
2017,31.687999999999917,1.0143702451394758
4156,-39.44300000000257,1.0118043844856661
3322,-11.044000000003152,1.009251471825063
2602,12.014999999998565,1.0067114093959733
17791,-493.9859999999837,1.00418410041841
8946,-200.37999999999425,1.001669449081803
5119,-67.73899999999992,0.9991673605328891
20911,-597.2559999999456,0.9966777408637874
2417,18.416999999998936,0.9942004971002485
4908,-65.96800000000006,0.9917355371900827
3754,-27.73400000000376,0.9892827699917559
12392,-309.0640000000067,0.9868421052631579
2507,14.4629999999989,0.9844134536505331
963,69.39599999999999,0.9819967266775778
19564,-556.1459999999629,0.9795918367346937
